OR,Region,label
1.49704,TSS1500,Clock_positive(drift)
2.507562,TSS200,Clock_positive(drift)
1.60793,5UTR,Clock_positive(drift)
3.781447,1stExon,Clock_positive(drift)
0.4595926,Body,Clock_positive(drift)
0.1529139,ExonBnd,Clock_positive(drift)
0.4743916,3UTR,Clock_positive(drift)
2.748934,Promoter,Clock_positive(drift)
0.8557123,Enhancer,Clock_positive(drift)
1.253952,TSS1500,Clock_negative(drift)
0.916634,TSS200,Clock_negative(drift)
0.9010743,5UTR,Clock_negative(drift)
0.9238632,1stExon,Clock_negative(drift)
0.7202417,Body,Clock_negative(drift)
0.6944069,ExonBnd,Clock_negative(drift)
0.6985337,3UTR,Clock_negative(drift)
1.024374,Promoter,Clock_negative(drift)
0.9691521,Enhancer,Clock_negative(drift)
1.472746,TSS1500,Non_clock(drift)
0.6775873,TSS200,Non_clock(drift)
0.7291637,5UTR,Non_clock(drift)
0.8446225,1stExon,Non_clock(drift)
0.6217218,Body,Non_clock(drift)
0.660377,ExonBnd,Non_clock(drift)
0.660377,3UTR,Non_clock(drift)
1.057227,Promoter,Non_clock(drift)
0.8550079,Enhancer,Non_clock(drift)
0.9997659,TSS1500,Clock_positive(non-drift)
1.096362,TSS200,Clock_positive(non-drift)
1.180442,5UTR,Clock_positive(non-drift)
1.254013,1stExon,Clock_positive(non-drift)
1.081691,Body,Clock_positive(non-drift)
0.7656298,ExonBnd,Clock_positive(non-drift)
0.9657364,3UTR,Clock_positive(non-drift)
1.177239,Promoter,Clock_positive(non-drift)
1.557079,Enhancer,Clock_positive(non-drift)
0.8575985,TSS1500,Clock_negative(non-drift)
0.6366843,TSS200,Clock_negative(non-drift)
0.8616158,5UTR,Clock_negative(non-drift)
0.6783598,1stExon,Clock_negative(non-drift)
0.8682129,Body,Clock_negative(non-drift)
0.8306296,ExonBnd,Clock_negative(non-drift)
0.7123214,3UTR,Clock_negative(non-drift)
0.7514759,Promoter,Clock_negative(non-drift)
1.804653,Enhancer,Clock_negative(non-drift)
0.8987301,TSS1500,Non_clock(non-drift)
1.044712,TSS200,Non_clock(non-drift)
1.003859,5UTR,Non_clock(non-drift)
0.7860184,1stExon,Non_clock(non-drift)
1.414418,Body,Non_clock(non-drift)
1.7138,ExonBnd,Non_clock(non-drift)
1.570889,3UTR,Non_clock(non-drift)
0.9067179,Promoter,Non_clock(non-drift)
0.6207238,Enhancer,Non_clock(non-drift)
1.479941,TSS1500,Drift_positive
1.445505,TSS200,Drift_positive
1.110535,5UTR,Drift_positive
2.034754,1stExon,Drift_positive
0.5466677,Body,Drift_positive
0.3647898,ExonBnd,Drift_positive
0.5743713,3UTR,Drift_positive
1.626888,Promoter,Drift_positive
0.8510359,Enhancer,Drift_positive
0.7036441,TSS1500,Drift_negative
0.608773,TSS200,Drift_negative
1.25252,5UTR,Drift_negative
0.6959993,1stExon,Drift_negative
1.466799,Body,Drift_negative
0.8526454,ExonBnd,Drift_negative
0.5372804,3UTR,Drift_negative
0.8194658,Promoter,Drift_negative
5.306178,Enhancer,Drift_negative
