P,Region,label
5.86E-112,TSS1500,Clock_positive(drift)
0,TSS200,Clock_positive(drift)
2.59E-148,5UTR,Clock_positive(drift)
0,1stExon,Clock_positive(drift)
0,Body,Clock_positive(drift)
6.35E-60,ExonBnd,Clock_positive(drift)
6.60E-56,3UTR,Clock_positive(drift)
0,Promoter,Clock_positive(drift)
0.000192377,Enhancer,Clock_positive(drift)
3.36E-24,TSS1500,Clock_negative(drift)
0.0016662,TSS200,Clock_negative(drift)
1.75E-05,5UTR,Clock_negative(drift)
0.01724364,1stExon,Clock_negative(drift)
3.67E-86,Body,Clock_negative(drift)
3.59E-05,ExonBnd,Clock_negative(drift)
1.90E-12,3UTR,Clock_negative(drift)
0.08339927,Promoter,Clock_negative(drift)
0.279465,Enhancer,Clock_negative(drift)
1.45E-85,TSS1500,Non_clock(drift)
2.95E-41,TSS200,Non_clock(drift)
8.48E-40,5UTR,Non_clock(drift)
5.73E-07,1stExon,Non_clock(drift)
8.38E-210,Body,Non_clock(drift)
6.42E-19,ExonBnd,Non_clock(drift)
1.61E-18,3UTR,Non_clock(drift)
0.00020303,Promoter,Non_clock(drift)
0.000601834,Enhancer,Non_clock(drift)
0.5003043,TSS1500,Clock_positive(non-drift)
3.38E-05,TSS200,Clock_positive(non-drift)
4.44E-18,5UTR,Clock_positive(non-drift)
2.83E-16,1stExon,Clock_positive(non-drift)
2.29E-09,Body,Clock_positive(non-drift)
0.000117752,ExonBnd,Clock_positive(non-drift)
0.1876147,3UTR,Clock_positive(non-drift)
9.18E-32,Promoter,Clock_positive(non-drift)
2.39E-34,Enhancer,Clock_positive(non-drift)
2.85E-42,TSS1500,Clock_negative(non-drift)
2.63E-207,TSS200,Clock_negative(non-drift)
3.87E-37,5UTR,Clock_negative(non-drift)
1.97E-99,1stExon,Clock_negative(non-drift)
2.92E-75,Body,Clock_negative(non-drift)
1.47E-06,ExonBnd,Clock_negative(non-drift)
2.78E-48,3UTR,Clock_negative(non-drift)
1.93E-258,Promoter,Clock_negative(non-drift)
1.88E-171,Enhancer,Clock_negative(non-drift)
3.10E-34,TSS1500,Non_clock(non-drift)
2.90E-05,TSS200,Non_clock(non-drift)
0.339405,5UTR,Non_clock(non-drift)
7.54E-73,1stExon,Non_clock(non-drift)
0,Body,Non_clock(non-drift)
8.96E-62,ExonBnd,Non_clock(non-drift)
1.62E-134,3UTR,Non_clock(non-drift)
1.30E-51,Promoter,Non_clock(non-drift)
6.50E-150,Enhancer,Non_clock(non-drift)
1.61E-231,TSS1500,Drift_positive
1.67E-139,TSS200,Drift_positive
7.66E-16,5UTR,Drift_positive
0,1stExon,Drift_positive
0,Body,Drift_positive
1.24E-68,ExonBnd,Drift_positive
2.14E-81,3UTR,Drift_positive
0,Promoter,Drift_positive
9.68E-09,Enhancer,Drift_positive
0.02501986,TSS1500,Drift_negative
0.01664506,TSS200,Drift_negative
0.07911443,5UTR,Drift_negative
0.1178817,1stExon,Drift_negative
0.000232299,Body,Drift_negative
0.5332671,ExonBnd,Drift_negative
0.07529854,3UTR,Drift_negative
0.05214849,Promoter,Drift_negative
2.50E-17,Enhancer,Drift_negative
