trait	p	OR	DE	bk	DMC	background
B Acute Lymphoblastic Leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)	0	10.939	624	21099	624	21099
Helicobacter pylori infection	2.76003745448333e-317	30.533	156	2021	156	2021
colorectal cancer	8.61780911280444e-255	10.121	219	8207	219	8207
aging	7.74398399076018e-179	3.692	362	31184	362	31184
colorectal laterally spreading tumor	6.81966818808875e-177	7.968	177	8245	177	8245
smoking	1.41647556942206e-170	4.247	259	20798	259	20798
hepatocellular carcinoma (HCC)	1.38276299124671e-169	7.582	176	8598	176	8598
prostate cancer	3.63498585391972e-119	6.832	132	7047	132	7047
oral squamous cell carcinoma (OSCC)	1.45415575918926e-107	4.042	173	14095	173	14095
adenoma	1.04422462234016e-47	3.779	92	8647	92	8647
smoking cessation	4.96793029166712e-18	6.727	18	948	18	948
myocardial infarction	8.81316516024767e-18	17.024	10	214	10	214
asthma	1.66794147755159e-14	1.874	79	13639	79	13639
pan-cancer	1.57574767101309e-13	9.802	10	364	10	364
right insular surface area	9.99019760286114e-13	5.288	15	1000	15	1000
follicular thyroid carcinoma	1.22431107054124e-12	2.508	40	5575	40	5575
B Acute Lymphoblastic Leukemia with t(12;21)(p13.2;q22.1); ETV6-RUNX1	1.5549584070791e-12	2.641	36	4768	36	4768
polychlorinated biphenyls (PCBs) exposure	5.46267065119899e-12	6.3	12	673	12	673
B Acute Lymphoblastic Leukemia with dic(9;20)(p11;q13)	7.0016452722169e-11	3.239	22	2379	22	2379
nasopharyngeal carcinoma	2.33013773021749e-09	4.274	13	1068	13	1068
bicuspid aortic valve (BAV)	1.41333105165646e-08	6.391	8	442	8	442
autistic trait	6.04024441931201e-06	40.704	2	19	2	19
poverty status	9.32109206381499e-06	13.489	3	80	3	80
Hyperdiploid B Acute Lymphoblastic Leukemia	1.47236555552211e-05	2.242	18	2798	18	2798
occupational pesticide exposure	2.65396737944252e-05	26.653	2	28	2	28
adrenocortical carcinoma	2.66206300842781e-05	2.816	11	1364	11	1364
maternal perfluoroalkyl substance exposure	5.87042865121419e-05	3.276	8	854	8	854
obesity	0.000196176175414654	1.575	37	8134	37	8134
glioma	0.000558827244704227	11.352	2	63	2	63
plasma homocysteine (Hcy) levels	0.00127698624463398	8.993	2	79	2	79
metabolic syndrome (MetS)	0.00143885117845901	3.242	5	539	5	539
intellectual disability	0.00144167985078357	43.256	1	9	1	9
muscle hypertrophy	0.00170898683036554	3.165	5	552	5	552
pediatric acute lymphoblastic leukemia	0.00247043488663648	31.471	1	12	1	12
high saturated fatty acids diet	0.00325306281024674	1.948	11	1965	11	1965
primary Sjögren's Syndrome (pSS)	0.00362186191377518	1.674	17	3526	17	3526
fat free mass index (FFMI, kg/m²)	0.00371864986886306	4.205	3	250	3	250
sexual abuse	0.00771365335396594	16.483	1	22	1	22
child abuse	0.00826755655754032	1.663	14	2924	14	2924
non-small cell lung carcinoma (NSCLC)	0.00858595637980747	5.168	2	136	2	136
trichloroethylene exposure	0.00979663662391816	14.425	1	25	1	25
